0,1,2,3,4,5,6,7,8,9
"It's a live exhibit, except for the leaves.",A rake ... and a tool.,Remember to save the crispy ones for our VIPs.,I knew you were rakish ...but a rope line?,"And that's a, a... a rake, correct?","Okay, forget the tree; what if a leaf falls in a forest and there's no one there to her it...",Don’t screw it up.,BOR-ing,Is this the popcorn line?,you missed an acorn
Maybe he's on the Paleo diet.,He says trail mix is for sissies.,He said he's not into three-ways. See you later.,Forgot the cooler.,"And he says you’re abominable, Jim.",What goes up must come down. RUN!,"The poor dear was invited to testify before a Fox News panel about  Global Warming and how it's negatively-impacted the local Hunting and Gathering Industry, which led to a lively discussion about the myth of White Privilege.","I'm sorry Ted, but your just not abominable enough.","Yeah,he's not doing the Animal Planet special anymore. He got cold feet.","He’s upset with the filter you used, he says it makes him look, “washed out”"
"I'm not off to work, and I'm not a ""high Ho!""","Even though it's the Seven Skating Dwarfs Sequel, you all can't be Happy...",Trolling the Queen is a slippery slope.,‘Disney on Ice’ has to get its start somewhere!,Why are you six?,There's a Sonic drive-in right next to the palace.,Your personalities dwarf your skating.,Disney will be pleased.  It's a good gimmick for a sequel.,"Now no more whistling, okay?","♫ We rollin', Grumpy hatin'  ♫"
Looks like we got additional toppings for free!,"You can always scrape us off your “everything” pizza, along with the broccoli.",Did you order the small Piazza AGAIN ?,Are you vegan?,That's a real slice of life.,Chef Paolo said to reallyenjoy his pizza we needed to BE the topping.,"Oh look dear, another relativity nerd who doesn’t understand quantum life",I guess they called our bluff on dining for four.,Seems I mixed up ordering an Uber with Uber Eats.,Seriously?!  They forgot the dipping sauces for the crust again!
"Yes, you should have been a pair of ragged claws scuttling across the floors of silent seas!",I told you I hate it when you start trimming my parents' garden,I Still don't understand why you couldn't have opened the door for me!,A manicure is not an unmanly thing.,"THAT""s what you mean by a 'pre-nip"" agreement?'","I told you not to touch that, you don't know where it's been and I told you to wash your hands but did you listen to me no because you never listen to me and I don't see why I always have to be the one to clean after your mistakes because you nev .",This is the last time I bail you out of jail for your lobster's rights protests.,I guess I will have to pick up the kids,"Now that you've clawed your way to the top, what's next?",I needed you in a pinch and you weren't there.
I have a feeling a really small Smokey the Bear is in your kitchen cabinet...,You distract her while I steep the 40-pound teabag.,I hope he's as sweet as he looks.,My colleague down the river has Maple Syrup,"I'd be a lot less scared if that was non-GMO, fair trade, certified organic agave.",But you said I was your one and only honey bear.,It's the Ghost of Pooh Sticks past.,All the better to eat you with my dear....,I think he wants us to keep away from the wildflowers!,I told you to stop calling me honey!
"I must apologize ; to be clear we both have a problem, metaphorically speaking :  I am in a pickle & you my friend , are in a jam",Last minute decisions are a bitch to make.,"I'm sorry, Sir, but the Toastmasters' meetings are on Tuesday.",This was supposed to be an informal toast.,If you'd like to wait in the grill we'll raise a glass when there's a seat for you.,"Yes, we used to be Whites Only",I am with the butter party.,I’m going to send you back to the hellscape from whence you came,"I'm awfully sorry, Mr Toast, your plate is indeed ready, but we cannot spread you until Ms. Jam gets here.","Sir, I'm afraid you're coming late. The guest have made a few toasts already."
Enjoy your authentic down on the farm cuisine,Betsy said this is the best bisque in town.,One order of slop was plenty. So why the seconds?,"I told you this was an authentic ""farm to table"" restaurant, dear.",This is the trendiest restaurant in the city. Specializing in authentic western grub and it is 100 percent organic to boot.,"Honey, this wasn't what I was expecting when I ordered their signature consommé from richly flavored stock.",They did say this place was farm to table...,No really this is the best farm to table restaurant in the city,"Just dip your heads in or we can provide slop
spoons.","Well, you certainly can’t say the portions are small!"
Yarrr a proper ending to he who carries liquid in an open container!,"No bare feet on the seat, Pete!",Aaargh! Next time travel by sea.,"Captain, are you sure this is the best way to handle the Coroneavirus?","Crikey,Cap'n,barefoot below 14th St.? He's doomed!",And don't stop walking until you reach the express train waiting on the opposite platform. Argh!,"Arr, mateys!  Do ye think that mangy bilge rat can take a joke?","Aaaargh'nt you sorry you didn't get up for that pregnant lady, ya land-lubbing scum!",Please mind the gap.,Blimey. He don’t seem to mind the gap.
Can anyone use the restroom?,You’ve discovered a new side effect!,Uh....we’re going to need larger suppositories,Got anything for a sore throat? I’m a little horse.,"Well, if you read the label this wouldn’t have happened.","Sorry sir, but we are not allowed to sell this medicine to someone with your expiration date","I’m sorry, I thought you said your voice sounded hoarse.","Here is your prescription - it says its the cure for ""screw you and the horse that you rode in on"".",This liniment should help with the shin splints and give you a shiny new coat.,Can I hoof my prescription?
I want catsup a la mode.,"Geez, what am I doing with my life?","You know, I'm biologically incapable of vomiting, but that chicken parm...","I'll have the grilled cheese, hold the bread. I'm watching my carbs.","And the vegan cheese as a desert, please.""","Just a slice of pizza to go, I have a train to catch.",And for desert I'll have the mouse mousse.,I'll have the Creamed Cat on Toast.,"I'll have the ham and swiss sandwich, hold the ham, hold the bread.",I'm a little early. I'm expecting a party of thirty.
"Here it is, in it's natural habitat.",My place or your place?,I could have sworn we were following bear tracks.,See how pristine this park is! There's no grafitti on the subways.,They said it was only a legend:  the old subway car graveyard!,So THIS is why on-time performance is spotty.”,I think they're those eco-friendly vehicles we've been hearing so much about.,The one on the right? Reminds me of Duke Ellington.,Quiet; I think they're about to mate.,It's their secret mating ground!
Hey Lady! You can't wear those shoes in here.,"Sheila, are you sure you don't want to come to happy hour?",Join us. The empty penthouse awaits.,AAAAHHHH!!!! AHHHH!!!! OHMYGODAHHHH!!!!,"Fifth floor, offices for Burns, Cook and Eternal Damnation.",Doctors agree it's healthier to take the stairs,"The fire isn't so bad. It's Edwards making the ""elevator to hell"" joke every half hour that is the real torture.",Looks like you are going down.,"For safety's sake, you can't enter without a mask!",We went through hell to get back and work at the office.
"Now that the elephant is gone, I feel like I can talk about anything.","Well, the landlord DID say we have some very friendly neighbors.",We lucked out getting this apartment right above the old one just as he got his growth spurt.,She doesn’t have Disney+.,They said we only had to feed it every three hours.,He only sticks his neck out for himself,The 3D version of 'Deep Throat' isnt what I expected.,When you said you wanted a pet I was thinking something smaller!,"Addressing the ""elephant in the room"" with this therapist just isn't going to cut it.",What part of  “No pets allowed”  do they not understand?
"I'm tired of being Rapunzel, I want to be the Prince this time!",I guess it’s better than the house of straw my last boyfriend built me but the tornado sirens have me concerned.,Why can't you play nice like the others?,"Still need you to make that door, honey.  Oh, I think I left my purse on the park bench too, sweetie.”",C'mon Flynn! Can't you see I've had my hair cut?,"If we have to head for lunch in twenty, aren't you forgetting something?",From the ad I expected an ocean view.,"Mom, it's not your fault I can't have the, ""Ivory Tower Experience.""","Ok,next time i promise Cancun","Keep your hair, Rapunzel. My teacher said that lice are really contagious."
"When you said swinging royals, I thought you were talking about baseball.","King Dumpus, I don't think you get the concept of swing voters.","When you play the game of hammocks, you win or you sleep.","I wonder, has the term ""royal hammock"" been patented yet?",This seems to be 6'.  Now what?,Can we go back to the matching yoga balls?,I was hoping to attract the feudal swing vote.,They can”t think of any other games 6 ft apart besides staring contests,"But, I ordered our royal knights to get us to a hummock...",It was on special sale on Amazon.
Operation Warp Speed means you’re both the scientist and the animal tested,The bad news is you're not immune to COVID. The good news is you're now my boss.,"The workout room is two doors down--treadmills, stationary bikes, and wheels.","I like cheese, do you?",It's only fair for me to volunteer to be the test subject this time.,"I’m sorry, we’re looking for lab rats.","I've finally discovered the formula that will determine whether you are a man or a mouse, dear.","The new shoe kube is called ""Squeak be gone.""","Yes sir, as a matter of fact, my graduate program is a bit of a maze too.","Glad you feel the experimental vaccine has worked in your case, Sir."
"Yes, it's a perfect height for the Widow's Walk...","I would have built a more conventional cairn, but she always loved modern art.","Nothing yet , Moses ?",It's all downhill from here.,"Baby,let me take you too the moon!",This is it Rose! Are you coming or staying with these terrestrials?,"Daniel, say you will take me out to dinner now or I pull out them stones!","Dont make me come up there again, you know what happened last time",I call it ‘the wheel’ - it’s just an early draft,Isn't there supposed to be a flagpole at the end of the level?
"Unless he has heartburn, we have no heat.",As an outsider it is always easier to make decisions,"Instead of spare ribs for tonight, I'm thinkin' ""please spare us, ribs.""","The recipe was posted by someone named ""Jonah"".",She said she's through with always being on the sauce.,"I said funnel cake , not tunnel cake !",Sure is lonely in here.,Tur-duck-hum-an,Sure the menu is always fish but at least we don’t have to pretend we like kale,I’m sorry. I forgot it. Ok? We’re just gonna have to make it work without the Himalayan sea salt...
Counting them is putting me to sleep.,Are we really tall or are they really short?,Sometimes I feel like a dog in sheep's clothing.,"Bend down, tease your hair and we will fit right in!","Tom, you do umderstand we are not paid too entertain the sheep?",I prefer goat yoga. It doesn’t feel like this is a workout.,Having family is such a blessing!,I miss Ralph.,A fox I know thinks this job would be perfect if we were guarding a henhouse.,"I’m just saying we have more in common with the wolves then with these things. Are we sheep dogs, or are we dog sheep?"
I don't mind the geometric building. The real challenge is the fire truck's triangular tires.,"Let's handle this choice with 'Rock, Paper, Scissors'.","It's a good start for polygon inclusion, but I'd like to see more sides represented.",The laundry chute will never be missed.,What? No transgender option.,I guess inclusion has come to the firehouse.,Great. I had two extra donuts. Go get the jaws of life.,Does this mean I have to use different pronouns?,This new decorator has got to go.,"Well, if the hole fits!"
There's a 30 percent chance he's angry.,Do you think we are not socially distanced enough?,"Is it because you don’t like small talk?”
“No, it’s not that. I just really don’t think we should talk about the weather anymore.”",Looks like it's gonna rain rats and hogs.,I think it’s called ‘cumulus angryus’”,Remember that time when Al Gore won an Oscar?,Cloud confrontation swollen up and fed up,Reading ‘The Cloud of Unknowing’ during the pandemic rid me of all my anxiety!,"I know it looks ominous, but they said the pandemic is over.",Do you think he’s mad because we’re blocking the earth?
