0,1,2,3,4,5,6,7,8,9,contest_num
I knew I shouldn't have bought the industrial-strength model.,"Well, that's one way to get the kids to do their chores.","Honey, I don't think this is what they meant by 'picking up the house.'",I guess the 'sucking up everything in its path' feature wasn't just marketing hype.,Maybe we should have stayed with a broom and dustpan.,"Next time, I'm reading the fine print before signing up for a free vacuum trial.","On the bright side, at least the neighborhood will be spotless.",And they said robots wouldn't take over anytime soon.,Suddenly the doorbell ringing went from annoying to terrifying.,"""Requesting backup! The vacuum has gone rogue. I repeat, the vacuum has gone rogue!",586.0
"Turns out maintaining work-life balance is a bit of a balancing act.""",I thought you said this was a team building exercise!,"When management said to take your work to new heights, this isn't what I had in mind.",Bob always was an early adopter of remote work arrangements.,"Next time, I'm holding out for a standing desk.",I'm starting to question the wisdom of my work-from-anywhere lifestyle.,I knew I should have clarified 'good view' before accepting this meditation retreat.,I'm not sure this is what they meant by a 'cliffhanger meeting'.,Maybe the 'get out of your comfort zone' advice has gone a bit too far.,"""I hope this proves my unwavering commitment to the project!""",598.0
I knew my job would be the death of me.,"Guess I should have taken that vacation after all.""",The ultimate retirement plan.,Worked myself to the bone... literally.,"Apparently, even I have a shelf life.",Talk about your hostile takeovers!,I always thought I was irreplaceable!,Even the Grim Reaper needs a break sometimes.,The hazards of the job finally caught up with me.,"""Now hiring Apply within.",607.0
"I said I wanted the METRO, not the MEATBALL sub!",Fast food is getting out of hand.,Must be lunchtime rush hour.,Next stop Heartburn Station.,Now that's what I call a real SUBway!,The city's really cutting back on public transit.,I hope there's no 'debris' on the tracks.,I think I'll wait for the next train. This one looks a bit too saucy.,"When they said train food was improving, this wasn't what I pictured.","""Eat Fresh, Commute Fresh.",609.0
"On the bright side, at least the outfit matches my hat.""",I knew I should have posted bail when they offered me bread and water.,I'm beginning to think 'Master Chef' was filmed on location.,They say prison changes a man. I used to specialize in lobster bisque.,I told you not to sample the evidence!,"Cheer up, this still beats working brunch shifts.",I'm just here for the networking opportunities.,Souffle? They barely let me near the Easy-Bake Oven!,The real crime is what they've done to my Yelp rating.,"""Apparently, 'I'm too pretty for prison' didn't hold up in court.",610.0
I knew these discount wings were too good to be true.,"I'm telling you, these pigeon disguises are foolproof!""",Pigeon Pose Nailed it.,"Day 23, and the pigeons still haven't figured out I'm a rat.",When you lie on your resume but still get the job.,"I'm not a rat, I'm a pigeon trapped in a rat's body!",Budget cuts hit the Pigeon Airforce hard this year.,"No, I totally meant to book my flight with Rat-geon Airlines.","So, which one of you is the stool pigeon?","""I'd like to file a complaint about the wing grafts from Dr. Coo's Cosmetic Surgery Clinic.",611.0
"Good cop, funny cop.""",We've got ways of making you laugh.,You have the right to remain silly.,"No funny business, except from me.","Wipe that smirk off your face, pal. This is serious clown business.",We can do this the easy way or the seltzer way.,"The jig is up, Bozo.""","I make the jokes around here, buddy.",Let's start at the beginning Why did the perp cross the road?,"""Honk once for 'yes', twice for 'no'.""",613.0
"I'm telling you, the ventriloquism act is a surefire way to get that promotion!","I know you said to bring a dummy for the presentation, but I think there's been a misunderstanding.","Meet the newest member of our team. He's a bit wooden, but he never complains about overtime.","I figured if I'm going to be treated like a puppet, I might as well bring my own.","I know we're supposed to be cutting costs, but I didn't think we'd be replacing employees with puppets.","He's here to help me with my reports. Two heads are better than one, right?",I thought you said we needed to improve our communication skills.,I'm not saying a word until my union representative gets here.,"I know you said to bring a 'dummy' for the emergency preparedness drill, but...","""This is my emotional support dummy. It helps me cope with the daily grind.",616.0
"I thought this was supposed to be a challenge, not a rock and roll concert!","When they said the wall has a mind of its own, I didn't think they meant literally!",I guess I shouldn't have insulted the wall's mother before starting my climb.,"I knew rock climbing would be a head trip, but this is ridiculous!",No wonder this route is called 'The Scream'...,I don't remember 'creepy staring contest' being part of rock climbing!,"Wow, they really take the 'indoor climbing gym as living organism' metaphor seriously here.","""Looks like I picked the wrong day to skip the 'Climbing Haunted Walls' class...","I came here to conquer my fear of heights, not develop a new fear of rocks!","""Huh, usually the faces in the rocks wait until at least halfway up to reveal themselves...",629.0
I'm here for your safety inspection. I see you have a few...life-threatening violations.,I thought I'd get a birds-eye view of my future clients.,Nice view. Reminds me of my corner office in the afterlife.,"I'm a little disappointed. I was hoping to meet some of you today."" ","Don't mind me, just getting ideas for some renovations to the underworld.","Huh, not a bad spot to meditate on the fleeting nature of human existence.","I always say, live each day like it's your last. For many of you, I'll make sure it is!","I know you're all dying to meet me, but I prefer to keep things professional.",Just think of me as the ultimate union rep. I'm here to ensure you all get an eternal break.,"""No need to fear the reaper, gentlemen. I'm just a big fan of your work!",636.0
"Earl always takes his yard work a bit too seriously.""",The neighborhood leaf peeper problem was getting out of hand.,Bob was determined not to let the squirrels cross his immaculate lawn.,The garden gnome union was on strike again.,"No one dared set foot on Fred's award-winning crabgrass.""",Harry regretted wishing for his own private park on a monkey's paw.,"It was a tough job, but someone had to protect the lawn flamingos.",The world's most exclusive putt-putt course.,Bill's backyard squatting competition was a bit of a bust.,"""He'd found the perfect place to practice his mime routine.",637.0
I told you we should have taken that left turn at Albuquerque.,"Wow, and I thought finding a parking spot was tough.",I guess we can cancel that search party now.,Looks like someone's been skipping leg day.,"Well, there goes our chance at the best dressed hiker award.",And you thought my trail mix was too crunchy.,I knew we should have packed the beef jerky.,Remind me to leave a 5-star review for these hiking boots.,So much for a relaxing weekend getaway.,"""Next time, we're sticking to the bunny slopes.",646.0
"I said we were going to the Enchanted Forest, not an enchanted ice rink!","Hi ho, hi ho, it's off to skate we go!""","Mirror, mirror, on the wall, who's the most graceful of them all?","Heigh-ho, heigh-ho, watch out for that tree!""","Dopey, I told you to bring the ice skates, not the roller skates!",Who needs Prince Charming when you've got moves like these?,And they lived happily ever after... once they made it off the ice.,The dwarfs take their coal mining sport of 'cave roller' very seriously.,Suddenly the dwarfs regretted wishing for a snow day.,"""This gives a whole new meaning to 'whistle while you work'.",661.0
"I told you, this is the last time we order from Tiny Tony's Pizzeria!",I guess this counts as an open concept kitchen.,"When they said 'pizza for the table', I didn't think they meant it literally.",I knew something was off when they charged extra for 'micro-toppings'.,"Next time, let's just eat out.",I'm not sure this qualifies as 'artisanal' pizza anymore.,No wonder delivery took forever - they had to build a tiny civilization first!,"Honey, I shrunk the pizza chefs!","I appreciate the authenticity, but a brick oven would've sufficed.","""At least we won't have leftovers.",663.0
"I know it's our first date, but I have to ask - are those lobster claws oven mitts or part of a costume?",I sea you're a fan of crustacean fashion accessories.,"Well, this gives new meaning to having a 'claw-some' time together!""","I've heard of wearing your heart on your sleeve, but your lobster claws are next level.",Looks like someone's ready for a fancy seafood dinner date!,"You know what they say, you can really fall 'claws over heels' for someone special.","So, do you prefer your butter melted or on the side?",I hope you don't mind if I'm a bit shellfish and keep you all to myself tonight.,Well aren't you just claw-dorable!,"""I've got to hand it to you, those lobster claws are quite the ice breaker.",681.0
"Honey, I'm home! No, really, I am literally honey.","I've been trying to cut back on the sweets, but it's just so hard when you're made of honey!",Doc said I need to watch my figure. I told him this IS my figure!,"I'm not just any bear, I'm a gummy bear!",Yogi's been hitting the honey a bit too hard lately.,"And that, kids, is why you shouldn't eat too much fast food.","It's called fashion, look it up.",Big Pharma's new weight gain drug seems to be working.,I'm the poster child for the Hundred Acre Wood's 'Maintain Don't Gain' program.,"""Silly old bear, jars are for honey!",685.0
"Sorry sir, we don't butter up to anyone for reservations.",Your name again was... Rye?,Crumbs! We're all booked up.,"I'm afraid you're too crusty for our establishment, sir.",A toast walks into a restaurant... but doesn't get served!,Let me check if we have a loaf-ly table for you.,Do you have a reservation confirmation number? It should be 13 digits.,"You appear a bit... toasted, sir. Perhaps another night?","Sorry, no shirt, no service. Maybe try the bakery next door?","""Ah yes, Mr. Crust. Right this way to your usual slice.",695.0
"And for our final course - a deconstructed apple pie, sifted tableside.","I appreciate the ambiance, but the flies are a bit much.",When you said 'rustic chic' this isn't quite what I pictured...,I heard the chef's inspiration was an episode of Little House on the Prairie.,"Next time, I'M picking the restaurant.",It's called 'Farm to Sifter' cuisine. Very exclusive.,"The portions are small, but the presentation is...unforgettable.",A chandelierium? How avant-garde!,Introducing the world's most pretentious pizza sifter.,"""Chez Dustbowl has really gone downhill since the critic's review.",696.0
"Next stop Davy Jones' Locker.""",Express train to buried treasure.,Mind the gap...between the plank and platform.,Now boarding the Arr! Train.,Stand clear of the closing plank.,"This subway brought to you by the letter Arrrr!""",Delays due to looting and pillaging.,"Tickets? Aye, walk the plank!","No busking, just buckling of swashes.","""Yo ho ho and a bottle of rum...delivered via Drunken Subway.",697.0
"I'm here to pick up my prescription for hay fever.""",Do these suppositories come in horse size?,I need something for a sore throat. I think I'm coming down with a bad case of horse-itis.,Just grabbing some hoof cream and I'll be on my way.,I have a coupon for BOGO on carrots. Can I use it here?,Where do you keep the saddle sore ointment?,My doctor said I need to stop horsing around. Got anything for that?,Time to renew my prescription for pegasus-mol.,"Neigh-proxen, please.""","""I'd like something to help me quit chomping at the bit.",700.0
"I'll have the cheese plate, and make it snappy!""",Compliments to the chef - I've never had to work this hard for a meal.,I assume you have a generous return policy on doggie bags?,Just water for me. I'm watching my figure... of speech.,So which one of you wants to be my dinner date?,You look surprised. Were you expecting someone smaller?,I hope the chef didn't put a lot of thought into tonight's special...,Table for one. I'm feeling a little...lonely at the top of the food chain.,No rush on the check. I plan to stay until every last crumb is gone.,"""I'd like to speak to the manager about the disturbing lack of mouse traps.",701.0
Welcome to the Wilderness Express. Next stop Absolutely Nowhere!,I told you we should've taken that left turn at the Oak Tree Station.,The city's new eco-friendly public transit system is a bit too literal.,I knew I shouldn't have booked our tickets through 'Discount Forest Tours'.,Looks like the train schedule is running a bit... off-track today.,The railway budget cuts have forced us to get creative with our route planning.,I guess this is what they meant by 'taking the scenic route'.,"Next time, let's just stick to the regular 'urban jungle' commute.",The new 'Nature Express' line really immerses you in the outdoors.,"""I think we may have taken a wrong turn at 'Platform 9¾'.",706.0
"I told you we should have taken the stairs.""",I guess management wasn't kidding about those budget cuts in building maintenance.,When you accidentally hit 'Basement' instead of 'Lobby'...,"On the bright side, at least the wait won't feel as long now.","Next time, let's just work from home.""",I hope someone brought marshmallows.,And they said casual Fridays were getting out of hand...,This is the last time I book a discount exorcism.,I knew I shouldn't have pushed all the buttons as a kid.,"""Meet hot singles in your area they said...",709.0
"I told you, we need higher ceilings if we're going to make this relationship work.","I know the rent is cheap, but I'm starting to feel a bit cramped in here.",I guess I should have read the fine print about pet restrictions...,I'm thinking about redecorating. Maybe a skylight would open things up?,I'm not sure this is what they meant by 'open concept' living.,I hope the upstairs neighbors are understanding about the noise complaints.,This is the last time I let you book our Airbnb.,"I've heard of high ceilings, but this is ridiculous!","At least we don't have to worry about nosy neighbors.""","""Next time, we're getting a place with a loft bedroom.",717.0
I told you not to watch that YouTube tutorial on building sandcastles.,I think we've hit bedrock.,The archaeological dig was more successful than anticipated.,I hope you remembered to put the sandbox back when you're done.,"Next time, let's build the sandcastle above ground.",I think we took 'digging to China' a bit too literally.,Looks like we've found the portal to the sandverse.,I told you we should have built a moat instead.,I don't think this is what they meant by 'sandbox game'.,"""Next time, we're bringing a bigger bucket.",721.0
"Ruling with a laid-back approach.""",I hereby decree... naptime!,The kingdom shall henceforth be known as... Hammock-stan!,Heavy is the head that wears the... hammock?,Royal proclamations will resume after my power nap.,Bring me my royal... sunscreen!,"Knight me? Why, I'd rather swing a bit!",I'm a firm believer in... hanging the rules.,Another hard day overseeing Slumberland.,"""What this monarchy needs is... more flexibility.""",729.0
"The side effects were a bit unexpected.""",I think we can deem the human-rodent cognition study a success.,This new lab assistant is a bit...twitchy.,The university's new diversity hire raised a few eyebrows.,"I'm here about the job listing for 'lab rat'.""",At least grant writing will be a cinch with these tiny hands!,Looks like somebody's been sneaking the experimental cheese again.,"And that, kids, is why you always read the warning labels first.",The HR department assured me this wouldn't affect my performance review.,"""I'm not saying it's flawless, but as far as interspecies head transplants go...",730.0
"The latest in Neolithic home security systems.""","When you said 'rock concert,' this wasn't what I had in mind.","Early attempts at rock climbing were a bit... stationary.""",The world's first modern art installation.,"Introducing the all-new Stonehenge Mini™!""",The caveman's version of 'Netflix and chill.',"When you forget how to play Jenga...""","The prehistoric version of 'I Spy.'""",Proof that procrastination has been around since the Stone Age.,"""The earliest known attempt at a rock garden.""",746.0
"I told you we should have taken that left turn at Albuquerque."" The chefs are lost inside the whale, referencing the famous Bugs Bunny line","So this is what they mean by 'farm to table'."" The chefs are unexpectedly close to the source of their ingredients","I guess we're the ones being served today."" The roles are reversed, with the whale consuming the chefs","Next time, let's stick to the kitchen."" The chefs have ventured too far out of their comfort zone",I knew we shouldn't have trusted that fi,"Well, at least we won't run out of salt."" The whale's interior likely tastes of salt water","I hope this counts as hazard pay."" The chefs are in a dangerous, unpleasant situation that warrants extra compensation","Note to self update resume."" After this experience, the chefs may want to find a new line of work","This gives a whole new meaning to 'belly of the beast'."" The cartoon literalizes the idiom about being in a dangerous or difficult situation","""And they said culinary school was a waste of money."" The chefs' training did not prepare them for this scenario",748.0
"I told you we should've gone with the miniature sheep breed.""",I think we're going to need a bigger fence.,"Well, at least we won't have to worry about any wolves...","Honey, did you accidentally order the sheep dogs from Brobdingnag?",I knew we shouldn't have let them near the miracle grow.,Something tells me they're eating more than just table scraps.,Good luck telling them to get off the furniture.,Time to update the 'Employees Must Wash Paws' sign.,"And yet, still easier than herding cats.","""I knew we should have gone with a Lab mix.",750.0
"I told the architect I wanted to think outside the box, but this is ridiculous!",Frank never quite fit in with the rest of the squad.,"When you try to cut corners in the fire station design..."" ",The 90-degree pole For firefighters who prefer angles over curves.,Looks like somebody didn't get the memo about the station's pole policy.,"You know Tim, he always has to be different.",Equality for all polygons!,"The poles may vary in shape, but our commitment to serving doesn't waver.",I thought they said this station was 'hole-istically' designed.,"""We had to make some compromises to get the station LEED certified.",754.0
"I swear, if that cloud yells at me one more time to get off its lawn...","Honey, I think the weather forecast was a bit too literal about the chance of a frowny face.","Well, there goes our perfect day at the park.",I told you we shouldn't have had that picnic in Grumpy's garden!,I guess Mother Nature woke up on the wrong side of the bed today.,Looks like somebody's got a case of the Mondays.,I knew we shouldn't have trusted a weather app called 'Angry Skies'.,"Guess the cloud didn't get the memo about 'turn that frown upside down'."" ",Maybe we need to organize a group therapy session for the clouds.,"""I always thought 'Old Man Yells at Cloud' would be the other way around.",757.0
