contest_number,prompt,caption1,caption2,caption3,caption4,caption5,caption6,caption7,caption8,caption9,caption10
637,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a yard 
description: A man is raking leaves in a yard while another man stands behind a rope barrier, watching him. 
uncanny description: It is unusual for someone to be raking leaves while another person stands behind a rope barrier observing them. 
entities: Rake, Observer 
funny caption:",I guess he's just trying to keep himself in the leafy zone.,It's like playing-peep-boo.,It's like having a referee during leaf.,It's like trying to play tennis without a net.,The ultimate in social distancing - raking leaves from six feet away.,The only thing more tedious than raking leaves is watching someone else do it.,"It's like watching grass grow, except you have to keep the dirt from falling on your shoes.",It's like playingleaves.,"""It's clear he is just waiting for his chance too. 'Till then, he'll keep things on the leafy side.'",I guess this guy wants to keep things under control - even when it comes to leaf raking!
646,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a snowy mountain 
description: Two hikers are on a snowy mountain slope, having a conversation. In the background, a yeti is walking up the slope. 
uncanny description: It is unusual to encounter a yeti while hiking. 
entities: Hikers, Yeti 
funny caption:","When you say you're bringing your own trail mix, but really you just packed some rocks.",Looks like we just stumbled upon a gondola ride throughada.,"Hiker 1: 'I feel like we're being stalked by a Bigfoot.' Hiker 2: 'Don't worry, he's probably just trying to find his way back home.'",The ultimate selfie spot? When the only other living thing around is a yeti.,Looks like we just ran into the original snowman.,"Well, I never expected to bump into a 'Yeti' on this hike.","It's always nice to meet your fellow mountaineers... especially when they're half-man, half-bear!",The only thing more out of place than these two on this mountain is a yeti.,Looks like we just met someone who knows all about the 'fine snow'.,It's always nice when your fellow hiker turns out to be an otherworldly creature.
661,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a fairytale landscape 
description: Snow White is standing and smiling while the seven dwarfs are roller skating around her in a joyful manner. There is a castle in the background. 
uncanny description: The seven dwarfs are roller skating, which is anachronistic for their time period. 
entities: Snow White, Seven Dwarfs, Roller Skates 
funny caption:","It turns out, the only thing more magical than Snow White's skin was her ability to dance on ice.",The seven dwarfs were having a blast on their new favorite pastime: roller skating at midnight!,It looks like Snow White has stumbled upon a new pastime. She's now known as 'Snow Speedster' and is leading the charge on the ice.,It turns out the Seven Dwarfs were just really big fans of disco.,Snow White finally found a way to make friends with the seven dwarfs: by teaching them how to roller skate!,It's a wonder how these tiny guys managed toen the ice.,"It's amazing how adaptable these dwarves are, they even know how to use modern technology!",It's amazing how much progress Snow White has made since she was first awakened from her slumber.,It's like they rolled into the kingdom on a pair of magic skates!,Snow White was surprised by the sudden urge to dance like a disco queen.
663,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a kitchen 
description: Two people are looking at a pizza box on a table. Inside the pizza box, there is a miniature scene of two people having a romantic dinner. 
uncanny description: It's unusual to find a miniature dinner scene inside a pizza box instead of a pizza. 
entities: Pizza_box, Miniature_people 
funny caption:",It turns out thatoversized pizza boxes make great home movie theaters.,Why did the pizza maker fall asleep? He saw his customers were going through a rollercoaster of emotions inside the pizza box.,Is it just me or does this pizza have an extra toppings?,What did the pizza say to the miniature couple? 'You guys had me at artichoke dip!',It's like finding a shrunken version of Romeo and Juliet inside a Domino's.,Is it me... or is this pizza box trying to steal my thunder?,It looksle like we just ordered a love-sized pizza.,It looks like we got a 'Pizza Dinner Theater' deal here.,What do you call it? A pizzapicnic?,When your date night ends with a slice of disappointment.
681,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a city street 
description: A man and a woman are walking down the street. The man has crab claws instead of hands, and the woman looks annoyed. 
uncanny description: It is unusual for a person to have crab claws instead of hands. 
entities: Man, Crab_claws, Woman 
funny caption:",Why did the man cross the road? To prove he was shellfish.,Why did the man refuse to hold hands? Because he was shellfish!,When your boyfriend gives you crabs... literally.,"What did the woman say when she realized her date had crab claws? 'You're definitely one of a kind, but I don't know how I feel about being your pinata.'",Why did the man cross the road? To get to thesaurus! He knew he had 'crab' hands.,It's hard to find love when you have crab claws instead of hands.,Why did the man cross the road? To prove he wasn't shellfish.,Why did the man break off his arms? He wanted to join the lobster club!,It's hard to find love when your catch is always on the run.,Looks like he's been stealing seafood from his neighbors.
685,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a forest 
description: Two hikers in the woods encounter a giant honey bear bottle with a spout on its head. The hikers look surprised and cautious. 
uncanny description: A giant honey bear bottle with a spout on its head is walking in the woods, which is not something you would ever see in real life. 
entities: Hikers, Anthropomorphic_honey_bear 
funny caption:",The only thing scarier than getting lost in the woods is running into a giant honey bear spouting water.,It was just anothery day in the woods when we stumbled upon this bizarre sight: two human-sized hikers face off against a giant anthropomorphic honey bear with a spout on its head.,What do you call a bear that's been eating too much honey? A honeybear-eating bear.,It's not every day you come across a bear with a sweet tooth and a thirst for adventure!,What's this? A honey bear who's also an entrepreneur?,It was just another day in the forest until Iamjane came across this anthropomorphic honey bear with a spout on its head.,It was just another day in the forest until we stumbled upon this bizarre sight. Wesied down for a picnic but had to make sure we didn't upset the honey bear by sharing our food.,Looks like someone got a little too sticky while hiking.,It's amazing what happens when nature decides it wants morea soda,Well this was definitely an unexpected detour on our nature walk
695,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a restaurant entrance 
description: A waiter is standing at a podium, looking surprised at a slice of bread with a face, arms, legs, and a bow tie. 
uncanny description: Bread does not have human features or wear bow ties. 
entities: Waiter, Anthropomorphic_bread 
funny caption:","Welcome to oursential restaurant, where even the bread is dressed to impress.",Why did the anthropomorphic bread apply for a job as a maitre d'? He had great buns.,It's no wonder they call it 'The Rolling Stone.',Why did the anthropomorphic bread go to the party? Because it wanted to toast the night away!,Thesaurus may have been out of order when the chefed this baguette.,"""A news headline: 'Waiters' Table'",The bread was really getting into character.,Thesaurus just gave me an antonym for 'surprised.' Turns out it was 'baguette.',Welcome to oursical dinner theater! Tonight's performance is 'The Mystery of the Sourdough Bandit!',"At this restaurant, they takesandwiches very seriously."
696,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a dining room 
description: A cowboy is pouring coffee from a pot into a coffin that is placed on a dining table. Two people in formal attire are sitting at the table, looking at the cowboy. 
uncanny description: It is unusual and unsettling to see a cowboy pouring coffee into a coffin at a dining table. 
entities: Cowboy, Coffin, Diners 
funny caption:",It's just a casual Tuesday morning at the dinner party.,The cowboys his morning brew before starting his day.,It seems like this cowboy has taken his love for coffee to the next level... or perhaps he's just having one last cup before going off to pasture.,It's just me or does this seem like an overdressed dinner party?,It seems like this dinner party went south.,It's always best to serve your guests with an open mind.,It seems like this cowboys going for a western wake.,The cowboys his brew before he checks out.,"When your boss asks you to cater a funeral brunch, you knowios are calling.",Thesaurus Awards: Best use of 'formal' and 'coffee' in a sentence.
697,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a train station 
description: A man is walking the plank off a train, while a pirate and another person watch from the train door. 
uncanny description: It's unusual to see a pirate making someone walk the plank off a train instead of a ship. 
entities: Pirate, Train, Plank 
funny caption:","It turns out, trains have their own version of 'Jenga.'",The Pirate showcased his unique form of transportation.,The train was running late so they decided tok the man off.,It seems like this pirate hasan mind.,It seems like the pirate wanted to make an impression on his fellow train travelers by showing off his captaincy skills.,It turns out the pirate just wanted to see how far his passenger would go for the ticket price.,It looks like this guy didn't have enough dough to pay fare.,Pirates have their ways of getting on board.,It looks like this guy's in for a bumpy ride.,It turns out trains can be just as treacherous as ships when it comes to crossing paths with a pirate.
700,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a pharmacy 
description: A centaur is standing at a pharmacy counter, talking to the pharmacist. The centaur is holding a prescription bag. 
uncanny description: Centaurs are mythical creatures and do not exist in real life. 
entities: Centaur, Pharmacist 
funny caption:",I'm getting my prescription filled by someone who knows more about horses than most vets.,I guess we all have our own unique ways of getting a refill.,My doctor prescribed me an elixir to cure my 'hay fever'.,"Centaurs don't need to fill prescriptions, they just have to ask their friends for advice.",It's always a pleasure working with customers who have four legs.,Centaurs have been getting their RXs filled since before it was cool.,The only way to cure my hay fever is with a little 'horse' medicine.,"I'm sorry, I have a unicorn allergy",The only time you'll see a centaur at a pharmacy is when they're looking for their 'horse' medication.,"I'm sorry, sir, we don't have anyheel cream."
701,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a restaurant 
description: A waitress is taking an order from a mouse that is sitting at a table and holding a menu. Other patrons are visible in the background. 
uncanny description: Mice do not sit at tables and order food from menus in restaurants. 
entities: Waitress, Mouse, Menu 
funny caption:",The waitresss! If only she knew how to read the fine print on that menu.,"At this restaurant, they serve a special menu for rodents.","It's a rodent restaurant, after all.",The only thing more unexpected than seeing a mouse ordering takeout is probably hearing it request extra cheese.,The waitress was taken aback when the mouse ordered a 'large fries' instead of asking for kibble.,The rodent chef's special: a plate of cheese fondue served on a bed of lettuce.,The mouse had finally decided to upgrade its dining experience by ordering a la carte.,The only thing more surprising than a mouse ordering food at a restaurant is a waitress who doesn't bat an eye.,"Well, well, well! If it isn't my old friend Mr. Mouse ordering his favorite dish - Mouserole!","Well, it's definitely a small order."
706,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a forest 
description: Two hikers with backpacks and walking sticks are walking through a forest. They come across two subway trains labeled ""2"" and ""A"" in the middle of the woods. 
uncanny description: Subway trains do not belong in the middle of a forest. 
entities: Hikers, Subway_trains 
funny caption:","Well at least we got our directions right, now we just have to figure out how to get out of this woodland maze.",What happened when one of the hikers missed their bus?,Why did the subway train decide to go on a nature walk? To see what 'A' was beyond stop 2!,What's next? A bus stop at the top of a mountain?,"What's the next stop on this train? The MTA's new ""Wilderness Line"".",It's like taking the wrong turn on the subway.,Hiking through the city's underground... literally.,These guys must have taken a wrong turn at Grand Central.,These guys must have taken the wrong turn at Grand Central Station!,How do you hike in the city? Take the forest subway!
709,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: an office building 
description: A woman with a briefcase is waiting for an elevator. The elevator doors are open, revealing people inside who appear to be engulfed in flames. 
uncanny description: Elevators do not typically contain people who are on fire. 
entities: Elevator, Flames, Office_worker 
funny caption:","It's always nice when the elevator gives you a new perspective on things. Or in this case, a new point of view on your boss.",Why did the elevator refuse to take her? It was afraid she would bring down the heat.,Looks like the elevator decided to take a detour througheland.,Looks like this elevator was taking things to another level,When your boss asks you to give a presentation on 'The Power of Fire'.,"Well, it looks like this elevator was going up in smoke.",The elevator was running hot today.,"It's always hot in the elevator at this office, but today it was particularly fiery.",It's no wonder this elevator was out of order.,Looks like the elevator was really hot on this girl's heels
717,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a living room 
description: Two people are sitting on a couch in a living room. A giraffe's head is poking up through a hole in the floor in front of them. 
uncanny description: It is unusual to see a giraffe's head coming up through the floor in a living room. 
entities: Giraffe, People 
funny caption:","It's a tall order to ask someone to fetch something from the basement, but this guy really took it to another level.",It looks like we have a new addition to the family - but he's definitely one of a kind!,Looking at the ceiling from an unexpected angle.,It's like a wild safari in your living room!,It was just another day at home when weed out the holes in the floor.,It seems like we have an unexpected guest crashing our movie night.,Looks like our guest has been grounded!,Looks like our new neighbor is trying to make a statement about their ceiling height.,It looks like they have finally found their way into the basement!,Why don't they just put a table down? It would save them from having to look up all the time.
721,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a playground 
description: Two children are playing in a sandbox. One child has built a tall sandcastle tower and is inside it, looking out from a window. The other child is kneeling outside the tower, adding more sand to it. 
uncanny description: It's unusual for a sandcastle to be tall enough for a child to sit inside. 
entities: Children, Sandbox, Sandcastle 
funny caption:",It seems like this kid has his own personals castle.,I guess they wanted a high rise apartment complex.,Looks like someone's got a head full of sand.,Looks like this castle was built on a hill of sand.,"It looks like they're building a castle out of sand, but who knew it would be so high? And now one child is living in luxury while the other is working hard to keep it up.",When your sandcastle becomes a skyscraper.,Looks like this castle is living its best life - one grain at a time.,Looks like the sandcastle tower has finally won the battle against gravity.,It's clear who's calling the shots.,Looking for an escape? This one towers over them all.
729,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a castle 
description: Two royals, a king and a queen, are lounging in a hammock inside a castle. A guard is standing at the entrance, watching them. 
uncanny description: It is unusual for royalty to relax in a hammock inside a castle. 
entities: King, Queen, Guard, Hammock 
funny caption:","The king and queen may have ruled their kingdom, but they couldn't rule out napping in a hammock.",Why did the king and queen refuse their guards' request to take a walk? They were too lazy to put on their crowns!,It's royal time!,Why don't kings and queens go on a cruise? Because they have their own private hammock!,It's great to be a royal... unless you have to stand outside all day.,What do you call two royals swinging in a hammock? A king and queen swing!,It's clear who wears the crown - the one swinging in it.,It's only fitting that our rulers take a break from ruling.,What's next? A throne swing?,It's good to have an audience when you're trying out your new 'relaxation technique'
730,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a laboratory 
description: A scientist is talking to a mouse wearing a lab coat in a laboratory. They are both holding clipboards and discussing something. 
uncanny description: It is unusual for a mouse to be dressed as a scientist and working in a lab. 
entities: Scientist, Mouse 
funny caption:","It turns out mice have great scientific minds, they just need someone to give them the chance to shine.","It's no wonder they call it a 'lab rat,' because this guy was bred for brains.",The mouse has been promoted to Chief Mouser at this top secret laboratory.,The new CEO's at it again - he's trying to out the competition.,It's amazing what you can do when you put a lab coat on a mouse.,Why did the mouse cross the road? To it could go.,"When your research funding runs out, you have no choice but to go 'mouse'.",It seems like someone got their wires crossed.,Looks like someone's trying tostein his work!,The mice have taken over the labs!
746,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: prehistoric landscape 
description: Two cavemen are in an open area. One caveman is standing on top of a tall, uneven stone staircase, while the other caveman is standing on the ground looking up at him. 
uncanny description: The stone staircase is unusually tall and uneven for a primitive setting. 
entities: Cavemen, Stone_staircase 
funny caption:","Wow, this caveman must have really been a social climber!","When one caveman asks another caveman how high he can climb, he gets a very literal answer.",Why did one caveman stand on the stairs? He wanted to reach new heights!,"I told my buddy he could have any seat on this rocky ride, but he chose the one with the most steps.",Why did one caveman refuse to use the elevator? Because he was afraid of getting trapped in a prehistoric escalator!,,,The only thing more challenging than climbing this rocky staircase was convincing my friend it wasn't just a hill.,The caveman whos good at stairs.,Why did one caveman bring his own stairs?
748,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: inside a large tunnel 
description: Two chefs are standing inside a large, ribbed tunnel. They are holding kitchen utensils and looking around. 
uncanny description: It is unusual for chefs to be inside a tunnel that looks like the inside of a giant creature. 
entities: Chefs, Kitchen_utensils 
funny caption:",Why did the chefs enter the tunnel? Too big to cook!,What do you call a chef who has lost their way? A Tunnelvisioned Cook!,It's no wonder these two chefs were lost in the tunnel. They had trouble finding their way out of the oven.,It was all just an elaborate scheme to make sure ourers were extra crispy.,Wes Tunnels Tastes Like Spices,I heard they were going toa for thea paste!,It's no wonder they couldn't cook anything right. All these spices were going straight to theirhemom.,Tunnel vision? These chefs took it literally.,"The tunnel was so deep, they had to use their measuring cups to see where they were going.",It seemss there's no escape from thespices.
750,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a field 
description: Two shaggy dogs are standing in a field surrounded by a group of sheep. The sheep and the dogs have similar fluffy appearances. 
uncanny description: The sheep look almost identical to the dogs, which is unusual. 
entities: Dogs, Sheep 
funny caption:",It's always confusing when your best friend looks like your dinner.,It's hard to tell who's shepherding who!,It's raining mutts!,What do you call a herd of mutts? A meadow of meowders!,You know it's a dog when it barks and a sheep when it bleats...but these two? They're just 'meow-baa!',It's a dog-sheep convention!,Who's the mutt?!,"It's like they said 'If you can't beat em, shear em!'","The sheep were so fluffy, they could've passed for shaggy dogs!","If these dogs were any more alike, they'd be considered twins."
754,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a fire station 
description: Two firefighters are standing next to a fire pole, looking down at the hole in the floor where the pole goes through. 
uncanny description: The fire pole seems to go through the floor into an endless void. 
entities: Firefighters, Fire_pole 
funny caption:",It's a good thing our hose doesn't go through the floor too.,"Well, it's better than being on a dead end street.",It's no wonder they're good at their job. They have endless resources.,It's no wonder we call it 'the hotline'.,What's down there? A giant hose? An underground lake of water?,It's no wonder we have trouble reaching the second story.,"It's hot work being a firefighter, but sometimes it gets really steamy.",They must have put this pole in quicksand.,"""I guess this is the burning question - how high is the fire pole going?",Why did the firefighter refuse to use the stairs? He didn't want to burn the ladder.
757,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a park 
description: A couple is having a picnic in a park. They are looking up at the sky where the clouds have formed an angry face. 
uncanny description: Clouds don't form faces, especially not angry ones. 
entities: Picnic, Cloud_face 
funny caption:",Looks like our picnic just got served with a side of storm.,It looks like we made a cloud-faced sandwich.,It was raining on our parade... literally,Looks like our picnic was clouded by bad weather. We should have just stayed home and baked cookies.,It looks like someone spilled their coffee on the clouds.,I guess we should have brought an umbrella...for the mood.,Looks like we forgot the wine coolers. We need to make peace with the angry clouds before they ruin our day.,The clouds were having a real grump day. Guess they didn't have enough sunscreen.,It looks like we picked the perfect day for a stormy picnic.,What did they say? 'The weather forecast calls for cloud rage?'
