0,1,2,3,4,5,6,7,8,9
"Next time, when they ask you if you want any toppings, you’d better be more specific than 'Yeah, a couple.'",You said you were in the mood for a little Italian.,OMG...Remember us...we were on your wedding cake!,I don't know either. We asked for a small table on the piazza.,"Well, you're not what we ordered either.",You ordered Basil and Olive? Here we are.,"Hello , we’re the Toppings!",Do you mind?  This is a personal pizza.,"Finally, some service.",Didn't you order the two-person pizza?
"Mobster, Larry. The invitation said to dress like a mobster.",You pinch me one more time and your going to find yourself in hot water.,Do that again and I'll put the rubber bands back on.,I can’t believe you wore shorts. EVERYONE was staring.,"When you said on the phone "" I'm Claude""  , I assumed it was your name.",You need to stop introducing yourself as my Maine squeeze.,It's not the claws. It's the screaming every time you get in the hot tub.,She comes to a party with a wooden mallet and a pick.  Don't tell me she didn't have her eyes on you the whole night!,"Oh, I’M crabby?","I figured ""must love shellfish""  was coded language for ""not Jewish."""
Stay calm. I think it just wants to be squeezed.,"Honey, behind you.",The waffle shirts were a bad idea.,"My survival instinct is telling me to play dead, but my OCD says wipe the spout.",Now do you believe me about the chocolate moose?,Anyone find a little yellow cap?,Forget what they said. Run! He's slower than molasses.,Don’t worry. Honey doesn’t go bad.,There must be a Costco nearby.,"Careful, these guys can be viscous."
We have one slot left.,We can't seat you until the entire loaf arrives.,"I don’t care if you were the “greatest thing” , you still need a reservation",The poptarts are already seated.  You’re toast.,"Sorry, we only serve toast at breakfast.","Sorry, the couple said, no toasts.",I think you misunderstood when I said we serve bread.,"Greatest thing or not, you still need a reservation.","I'm sorry, Sir.  Your date called to cancel due to a yeast infection.","Sorry, but it is extra for bread."
Best farm-to-table in town.,When.,"If there's a ring in here, Hank, I swear to God...","Frankly, I'm so over this whole farm-to-table fad!",I was going to break up with you after dinner but I think I'll do it now.,"Thanks a bunch, Mr. I-can-order-in-French.",I'd assumed The Hungry Pig would be more of a barbecue place.,Well you said you wanted the ranch dressing,"Don't ask for a spoon, he'll know we're tourists.","Well, just offhand I'd say yes, they know who you are, and yes, they've read your last review."
This is a lot more effective on the elevated tracks.,"'Of course it's shark-infested, it's Wall Street.'",Wait till he finds out this isn't his stop.,This was more effective when I worked on the Staten Island Ferry.,"Take public transportation, they said. What's the worst that could happen, they said.","Port Authority Station, matey. God help ye.",The Pirates Of PenzStation,"See what happens when you yell, ""Trump 2020"" on a crowded train!""",I miss the splash!,"Yes, this is your last stop."
Looks like you're already familiar with the side effects.,You're going to need some help with these suppositories.,I take it you already know about the side effects.,"They didn’t specify which one, but your insurance will only cover half.","Look, sir, I can tell you to take it with water, but I can't make you drink.","This will make you drowsy, so you’ll need someone to ride you home.","Yes, it says here possible side effects include shortness of breath, cough, and horseness.",I see your insurance policy comes with a rider.,Drink one of these after breakfast and another before you hit the hay.,"Thanks for telling us, sir... ATTENTION, CLEAN UP IN AISLE SIX!"
I just want to make sure 'mousse' isn't a typo.,I was considering ordering the cheese board but that seems like a trap.,I've been coming to this place since it was a hole in the wall.,"I know I don't look familiar, but believe me, I eat here all the time.","Just coffee, I have to get back to the lab.",There'll be several hundred of us.,"The last time I was here, I swear they tried to poison me.",Remember when I was the worst thing to temporarily shut down a restaurant?,I remember when this place was just a hole in the wall.,Could you suggest something light? I have a maze to run this afternoon.
"Well,I know what Duke Ellington would do.","Of course... we wait forever, then two come at the same time.","And to think, this was Times Square a month ago.","Approach quietly, if they know you are five steps away, they'll depart.",I always wondered what happened if you stayed on past 116th street.,"An encouraging sign, but we’re not out of the woods yet.",At least they covered their tracks.,I never realized the urban jungle was an actual place.,"Of all the things we packed, I didn't think to bring my Metrocard.",Nobody ever tells the story of all the little trains that couldn't.
You might want to try the stairs. This one only goes down and takes an eternity.,I just pressed 2020,Kellyanne! We’ve been waiting for you.,This is Hell.  For High Water take the elevator to the right.,"No, the worst part is still the music.",Seriously?! You're asking whether we're going up or down?,First trip on a White House elevator?,We’re going down in flames. Going up in smoke is the next car over.,So now we know what the 'FIRE' button does.,Sorry—the Stairway to Heaven is down the hall.
"Well, at least up here we only have to feed it.",I think we got the better end of this pet-sharing deal.,I guess I misheard. I thought the realtor said there was ‘a draft’ in the apartment.,"I know it's not an elephant, but we still need to talk about it.","Whadya know, three African-Americans in one New Yorker cartoon!","4-B would know for sure, but by the horns I'd say male.",Could be worse... we could live downstairs.,"So, if I can see it and you can see it, then it isn't the brownies.",The zookeeper downstairs is working from home,We never should have complained about their dog.
"I can still vote by mail,you know.",My hair is never gonna grow that long before dinner time.,"This is all very well, but where are YOU going to self-quarantine?",Well if you plan to complete the whole castle you're going to have to think outside the box.,"Sweetie, mommy needs to pee.","Mom, can't I just wear a mask?","You remembered to carve a door, right?",How is that door coming along?,But I Tested Negative Twice,This is why nobody likes to play with you.
"We can’t be overthrown, but we can be swayed.",Now is the winter of our discount tent.,"Gotta be honest, I’m relieved this is what you meant by ‘hanging.’",She got the throne in the divorce.,We’ll show those Ottomans.,"I'm swingin' in the reign, just swinging in the reign....",It was called FLÄRDTHRÖNE on the IKEA website...I didn't realize until after assembling.,The swing vote put us in.,"It's comfy, but the throne had a cup holder.",We should have gotten the king size.
"I'm the only one commenting on your name, Dr. Katz?","Dr. R. O. Dent, I am happy to report that our experiment  using Bleach was 98% successful in eradicating the infestation in the White House!",It's an honor to be working with someone who was in on the ground floor of the research.,"I was wondering if you could say something today about the  importance of cheddar, not any chedar, but our own Wisconsin cheddar.","Professor Morgan, I have the lab results from the last week's clinical trials on your genetic experiment to create a super-smart... Uh, Professor?","Says here, you have a lot of lab experience.","I'm impressed by how quickly you made it here, doctor. This lab is a maze.","Yes, with this serum you'll return to the lab rat pool, but no one can ever take away your Ph D.","If you're free after work, I know this hole-in-the-wall place you'll love.","For the last time, Bob, I don’t know who moved your cheese."
I forgot what I came upstairs for.,Those better not be my good rocks.,"On second thought, put them back in a circle.",How about you do a little more hunting and a little less gathering?,"For God’s sake George, put on some underwear.",I can't remember what I came up here for.,"Well, just look at you, Mr. Homo Erectus.","Marry a hunter or gatherer,"" they said. ""But he's so creative,"" I said","First a ""wheel"" attached to nothing. Now ""stairs"" to nowhere. No wonder everyone thinks you're a Neanderthal.",Is this another one of your pyramid schemes?
I would prefer to go out the way we came in.,I usually wake up at this point.,Talk about being consumed by your work.,I guess its just us for dinner,Not the return to inside dining I was expecting,"It's slow now, but we'll be pooped by the end of the night.",I hear that the dinner crowd comes in waves.,I thought you said the job was in Wales!,Study for six years in Paris and you're stuck in some rib joint.,"hate to say it, but there's a way out in the back"
It’s good to be back in the field. It just wasn’t the same working from home.,Every time they say 'baa'  please stop saying 'humbug'.,Remember to check for faces—I once barked at a cotton bale for hours.,"Remember Dave, Rule #1: Never Count Them. Dave? Dave?","Ewe, ewe. ewe. That's all we ever talk about.",This is nothing.  Herding cats -- that's a real job.,They refuse to budge. They claim they have herd immunity.,"Herding is okay, but what I’d really like to do is direct.","I have to admit, I’ve been sleeping a lot better since I got this job.",One is missing?  What does it look like?
"Whoa, the new recruit went down the laundry chute.",I have a feeling there’s a psychologist waiting down there.,After you - I’m out of shape.,"Wait, is the call for Times Square or Columbus Circle?",I’m not sure the department knows what diversity in the workplace really means.,What if I don't identify with either?,I guess it depends on what shape you’re in.,I see the diversity committee met again.,Since when did the pizza delivery guy get his own pole?,I guess this makes us bi-polar
I thought partly cloudy with a chance of rage was a typo,Well it looks like my mother found out that you’re not Jewish.,"They banned him from Twitter, but he’s still in the Cloud.",That reminds me. Your mother called.,A bunny. Seriously. You see a bunny.,What do I think? I think we should stop asking the universe for a sign.,"He was banned from Facebook and Twitter, so he's trying the Cloud.",What the hell did you upload to the cloud?!,The forecast did say the weather would turn ugly.,He hates when someone steals his thunder.
