0,1,2,3,4,5,6,7,8,9
We should've never bought the generic fish oil pills.,Day one of the worst honeymoon ever.,My profile specified strictly kosher.,The claws are bad enough. But those horrid shorts!,"Wouldn't it be a lot less weird just to wear a ""Proud to be a Mainer"" T-shirt?","You’re quite a catch, but I wonder sometimes whether you’re a keeper.","Once again, your claws have gotten you into hot water.","Yes, I don't notice your receding hairline as much.","If you forget your rubber bands again, you're history.",I'm just saying that it would have been nice to mention in your tinder profile
Do you still have a sore throat?,"Shout,wave arms,spread on toast? What?","This is awkward, but I guess I prefer the more butch Smokey.",Lost? Does a bear squirt in the woods?,I guess 'you are what you eat' is especially true for bears,Apparently the salmon run is over.,I forgot the tea bags.,"Don't panic, he probably runs quite slowly.","Actually, I'm not your problem. I'm the condiment.",Look out! His drip is worse than his grip!
You’re too late. They’ve already made the toast.,"Your lack of pants and shoes... not to mention facial features, appendages, and nose, preclude me from providing you service","Sorry,we no longer serve bread here.","Just because you're the ""toast of the town"", you still don't a table.","Don't try to butter me up. You were bread down South, but you're just a crumb up here.",Guess I was supposed to Roast - not Toast- you.,Will that be in the Gluten-Free section?,Sorry..I'm told we don't knead any more...,"Sorry,Table 5 said,""No seeds.""","No jacket, no gluten, no service!"
I guess 'slop du jour' wasn't a typo.,"Excuse me, we were asking for ""truffle"" NOT ""trough full.""",I can't believe it's vegan!,This farm-to-table movement has gone too far!,I wondered why it was spelled “Troughles” on the menu.,I think this farm to table schtick has gone a little too far.,"‘Dinner on me,’ is no longer enough.","I know they're trying to cut down on plastic straws, but this is ridiculous.","Free refills, right?",Take a picture.
"This is the 'Arrgh' train, not the 'R'!",Fashion week venues are getting out of hand.”,"Fear not. One more step and he’ll sink into a sea of depravity, never to return.","Now, maybe ye'll think twice before ye manspread.","Thought you'd transfer to the 'A' train, did ya?",Step lively young Mr. Trump Jr.!,It's the thought that counts.,I just can’t decide between ‘poisoning plank’ and ‘innovation platform’.,Serves ya right for taking the ARG,Of course it's a punishment—I've got his MetroCard.
Time to pony up.,I guess 'may cause horseness' wasn't a typo after all.,"It's not a common side effect, I must say.","Yes, the bathroom is species neutral, but it is not long enough to close the door!",Says here it's a 50 percent co-pay,"This medication has numerous potential side effects, including hallucinations and delusions.",I have this nagging backache...,"Yeah, I'm just glad it wasn't something serious like a broken leg.",That interaction is rare.,These pills can only go so far. You will still have to stop horsing around.
How much off if it's been dropped on the floor?,"Now that people are afraid to go out, I'm not looking so far fetched as a customer, am I?",Can I substitute the ratatouille for a side salad?,"Does your kitchen have a ""A"" rating?","I’m celebrating. 
No one is blaming this one on me.",what did the cat bring in tonight ?,About how stinky is the “super-stinky moldy cheese roll”?,Can you please make sure that the milk arrives at the same time as the cookie?,"Thanks for taking my order, usually I just get hit with a broom…”","I'll go with the daily special of the five cheese lasagna."""
We finally made it off the beaten track.,That explains the elephant with the E-Z Pass.,I thought you could transfer only at 59th Street?,"It’s weird seeing them like this, completely untrained",I've read about them -- I think they became endangered after the introduction of the American Uber.,The pandemic has meant that a few of them have gone feral but they're friendly enough.,"Two subways diverged in a wood, and I took the one less traveled by.",Living Off the Grid,Somewhere under all this ground cover must be Fulton Street.,"Well, they said it's the longest subway line in the world. Now, I believe it!"
So this is where all his former staff members ended up.,Don't tell me: you had good intentions.,"Ninth circle, please",Hedge fund managers?,"That’s okay, I think I’ll get the next one","Going down, I assume?”","You'll have to take the Stairway to Heaven.""",Did you call the hellevator?,"I thought they meant six feet apart and not six feet under""","Awwww, to Hell with it."
Wait til you hear the elephants upstairs,"Well that's unexpected.  Last Christmas, he totally fit under the tree.",Let’s address the giraffe in the room,Better than Tiger King,Wildlife certainly are bolder with us in lockdown! “,Bertha! Look at me when I'm talking to you!,It’s only fair. We’re logged into his Netflix account.,Must be an Emotional Support  giraffe,Time to move. This building has become such a zoo.,I’d say we got the easier half to take care of
I knew I shouldn’t have gotten my hair cut.,That’s the last time she’ll sneeze in this sandbox...,I asked for a spaceship.,I see that we’re still building up patriarchal norms,"Trust me, you’re safer up there","No, I like it.  That's my resting beach face.","No, I said we live in a “Cancel” culture",Aren't you taking this social distancing thing a bit too far...?,WE'RE   DOING EVERYTHING WE CAN TO MAKE VOTING EASY - DJT,"I can't pay you for helping me build this, but I can deem you an essential worker and tell everyone else on the playground that you're a hero."
I thought you meant Hamlet,"I beheaded the guy that brought me this, but I have to admit it is comfortable.",At least it’s king sized,I need a toilet.  What happened to the throne?,"'So, this is just for Fridays, right?'",I agree.  A throne is so not woke.,Does this qualify us as a swing state?,It just doesn’t project authority like I had hoped.,Your restless legs really kept me up last night.,I'll take Macbed over Hammock.
"We were warned about possible side effects, including abnormal ear growth.","Develop a mousetrap vaccine, and the world won't beat a path to your door.","The maze was simple enough but i still couldn’t tell the difference between gorgonzola ,blue cheese and roquefort","Systemic? I say ""ALL lives matter!""","Thanks to your little accident, we can perform animal and human testing at the same time!",It's just amazing that you're raising four mutant turtles on a professor's salary.,"I'm sorry Doctor, but I don't understand why a cat scan is necessary.",The supply department wants to know if you’ll be participating in Take Our Kids to Work Day.,I understand you've worked your way up from the testing lab.,In which field do you work?
Can you stop stonewalling for two seconds?,"Yes, I am impressed. Unfortunately, we just entered the Iron Age.”",Well that proves it...you can tell them all the earth is flat!,I don’t know... I’m still hung up on that spiral design,"Last chance, Ethel. If I get on this mammoth, I'm not coming back.",Are you being obtuse?,"First the wheel, now this ... I will be so happy when you finally go back to the office.",Tomb with a view?,I call it Times Square.,"No more hunter-gatherer. It's upper management for me, baby!"
I can't work in a dive like this.,He must be starving.,"Ok, what's the kitchen hack for this one, Jonah?""",A tough gig for a couple of pastry chefs.,You did name the restaurant Ishmael.,I have an idea for today’s special.,They weren't lying when they said it takes guts to be a sous chef in New York.,Not even Julia could get a soufflé out in this humidity.,I think you might need a bigger boning knife.,What would Bobby Flay do?
"How long do you think it will be til the press finds out they all ""dated"" Gaetz?","You're right, Fido! It DOES look as if someone different drew the sheep.","How many did we start out with anyway?  Bud? Hey, Bud! Wake up!","How many times must I tell you, no ewe turns!?",Herd immunity” does not mean what you think it means,Stay sharp.  They're considering outsourcing.,Mary really pulled the wool over your eyes,"Remember, don't count them while you're on watch",Boss is on a tear. Ewe lose one and the sheep will hit the fan.,Ever notice how you begin to look like them?
Another new guy went down the mail chute! I guess it is kind of confusing having it right there.,"Well, this isn't fair and square.",Round for fire calls.  Square for Zoom calls.,I'm just going to take the stairs.,That its square doesn't bother me...what bothers me is that the pole only goes two more feet.,Call 911.,I dunno. The options are awfully binary.,Which one is for introverts?,"So, I asked my high school math teacher, ""When will I ever use Pi in real life?""  and I guess today is the day.",It's part of the Department's new Diversity Sensitivity Program.
It started with Bob Dylan going electric.,Looks like we're in for nasty weather.,"We won't get wet. Those are rage clouds, not rain clouds.","Oh, so for once you see it too?",This is definitely not cloud nine,Blue skies frowning at me,He's been following me around because I'm not wearing a mask!,"Don't worry, he's full of hot air.","So, here's a fun fact ... not every cloud has a silver lining!","Is this what they mean when they say ""the gods are angry?"""
